調用(call function)	呼叫
Google雲消息傳遞	Google雲端通訊
Google 工具條	Google 工具列
全球移動通信系統協會	全球行動通訊系統協會
移動信息設備配置文件	行動資訊裝置設定檔
C\\+\\+的類	C\\+\\+的類別
Google 文檔	Google 文件
Google 視頻	Google 影片
Google工具條	Google工具列
光纖分布式數據接口	光纖分散式資料介面
全局唯一標識分區表	GUID磁碟分割表
可擴展商業報告語言	可延伸商用報告語言
谷歌瀏覽器內嵌框架	Google Chrome內嵌瀏覽框
豐富互聯網應用程序	多樣化網際網路應用程式
面向語言的程序設計	語言導向程式設計
C\\+\\+類	C\\+\\+類別
Google文檔	Google文件
Google視頻	Google影片
世界移動通信大會	世界行動通訊大會
互聯網內容提供商	線上內容提供者
互聯網服務提供商	網際網路服務提供者
內容可尋址存儲器	可定址內容記憶體
最終用戶許可協議	終端使用者授權協定
磁盤碎片整理程序	磁碟重組工具
金屬氧化物半導體	金氧半導體
開放手持設備聯盟	開放手機聯盟
面向消息的中間件	訊息導向中介層
伯克利軟件套件	柏克萊軟體套件
信息及通信技術	資訊及通訊科技
公共陸基移動網	公用陸上行動網路
可擴展固件接口	可延伸韌體介面
可擴展置標語言	可延伸標示語言
可移植文檔格式	可攜式文件格式
因特網密鑰交換	網際網路金鑰交換
基於原型的編程	原型程式設計
移動網絡運營商	行動網路業者
移動電信運營商	行動電信業者
計算機體系結構	電腦架構
超文本標記語言	超文件標示語言
超文本置標語言	超文件標示語言
軟件包管理系統	軟體套件管理系統
軟件開發工具包	軟體開發套件
高清多媒體界面	高畫質多媒體介面
高速緩沖存儲器	高速緩衝記憶體
隱狄利克雷分配	隱含狄利克雷分布
Java的類	Java的類別
Sun微系統	昇陽電腦
介質相關接口	媒體相依介面
企業移動管理	企業行動管理
低級編程語言	低階程式語言
信息物理系統	網宇實體系統
個人數碼助理	個人數位助理
內容分發網絡	內容傳遞網路
函數編程語言	函式程式語言
分層樹形視圖	多層次樹狀介面
吉比特以太網	十億位元乙太網路
啟動引導程序	啟動載入程式
圖形用戶界面	圖形化使用者介面
基於類的編程	類別為基的程式設計
密碼認證協議	通行碼鑑別協定
屏幕保護程序	螢幕保護裝置
應用程序接口	應用程式介面
數字地面電視	數位無線電視
數據執行保護	系統記憶體保護
文件命名空間	檔案命名空間
文檔對象模型	文件物件模型
最底層派生類	最末層衍生類別
服務器消息塊	伺服器訊息區塊
磁盤碎片整理	磁碟重組
移動內容管理	行動內容管理
移動應用管理	行動應用管理
移動操作系統	行動作業系統
移動聯網設備	行動網路裝置
移動設備管理	行動裝置管理
站點標識按鈕	網站識別鈕
索尼移動通信	索尼行動通訊
統一渲染架構	統一著色器架構
聯機交易處理	線上異動處理
聯機分析處理	連線分析處理
諾頓克隆精靈	諾頓魅影系統
退出應用程序	結束應用程式
通信順序進程	交談循序程式
通用串行總線	通用序列匯流排
遠程桌面協議	遠端桌面協定
遠程過程調用	遠端程序呼叫
開放移動聯盟	開放行動聯盟
集成設備電路	整合裝置電路
集成開發環境	整合式開發環境
面向代理編程	代理人導向程式設計
面向對象編程	物件導向程式設計
類的析構函數	類別的破壞函數
類的構造函數	類別的建構函數
高級編程語言	高階程式語言
隱式語義索引	隱含語意索引
有監督的學習	監督式學習
GSM移動	GSM行動
Java類	Java類別
三叉搜索樹	三元搜尋樹
上下文切換	上下文交換
主引導記錄	主開機紀錄
二叉搜索樹	二元搜尋樹
代碼生成器	碼產生器
任務管理器	工作管理員
光盤驅動器	光碟機
光網絡終端	光纖網路終端
全面屏手機	全螢幕手機
函數式編程	函式語言程式設計
刀片服務器	刀鋒伺服器
只寫存儲器	唯寫記憶體
只讀存儲器	唯讀記憶體
命令式編程	指令式程式設計
圖形處理器	圖形處理器
圖形計算器	繪圖計算機
圖片查看器	圖片檢視器
多主體系統	多代理系統
多頻道網絡	多頻道聯播網
字符打印機	字元列印機
字符生成器	字元產生器
安全套接層	安全通訊協定
幫助與支持	說明與支援
快捷工具欄	快捷列
批處理文件	批次檔
批處理程序	批次程式
接入覆用器	接取多工器
接近傳感器	鄰近感測器
搜索關鍵字	搜尋鍵碼
文件擴展名	副檔名
文字處理器	文書處理器
文本編輯器	文字編輯器
服務器陣列	伺服器陣列
正則表達式	正規表示式
比特誤碼率	位元錯誤率
消息認證碼	訊息鑑別碼
硬盤驅動器	硬碟機
磁盤驅動器	磁碟機
移動互聯網	行動網際網路
移動客戶端	行動用戶端
移動瀏覽器	行動瀏覽器
移動計算機	行動電腦
移動運營商	行動業者
程序編寫員	程式設計師
窗口管理器	視窗管理員
筆記本電腦	筆記型電腦
網景導航者	網景領航員
網狀數據庫	網狀式資料庫
網絡運營商	網路業者
緩沖存儲器	快取記憶體
萬維網聯盟	全球資訊網協會
虛擬專用網	虛擬私人網路
視頻處理器	影像處理器
解釋型語言	直譯語言
計算機科學	電腦科學
訪問控制表	存取控制列表
調制解調器	數據機
調用層接口	呼叫層級介面
資源管理器	檔案總管
賦值運算符	設定運算子
軟盤驅動器	軟碟機
進程控制塊	過程控制段
進程間通信	行程間通訊
邏輯卷管理	邏輯捲軸管理
關系數據庫	關聯式資料庫
陣列服務器	陣列伺服器
飛兆半導體	快捷半導體
首席信息官	資訊長
首席執行官	執行長
首席技術官	技術長
首席運營官	營運長
生物標誌物	生物標誌
偽相關回饋	準相關回饋
有窮自動機	有限自動機
逆文檔頻率	逆向文件頻率
邊緣統計量	邊際統計量
正則運算式	常規表示式
128位	128位元
BC範式	BC正規形式
DK範式	DK規格化
三叉鏈表	三元連結串列
下拉列表	下拉式清單
下拉菜單	下拉式選單
並發計算	並行計算
並行端口	並列埠
並行計算	平行計算
串行計算	序列計算
主流媒體	主流媒體
二叉鏈表	二元連結串列
人工智能	人工智慧
人工神經	類神經
人機界面	人機介面
人臉識別	臉部辨識
任務切換	工作切換
低級語言	低階語言
依存類型	依存型別
依賴類型	依值型別
信息安全	資訊安全
信息技術	資訊科技
信息接觸	資訊參與
信息時代	資訊時代
信息產業	資訊工業
信息管理	資訊管理
信息過載	資訊超載
個人網站	個人網站
內存泄漏	記憶體流失
內部網絡	內部網路
冒泡排序	泡沫排序
分卷壓縮	分割壓縮
分層視圖	多層次樹狀介面
分組交換	封包交換
分組密碼	區塊加密法
分配單元	單位配置
前向糾錯	正向錯誤校正
前向鏈接	正向鏈結
功能手機	功能型手機
動態綁定	動態繫結
動態類型	動態型別
匯編語言	組合語言
區塊鏈接	區塊鏈結
即插即用	隨插即用
參數列表	參數列
反規範化	解除規格化
可變碼率	變動位元速率
命令鏈接	命令鏈結
命名空間	命名空間
商業模型	商業模式
啟動轉換	啟動切換
單參函數	一元函式
單選按鈕	無線電鈕
單點登錄	單一登入
固定碼率	固定位元速率
固實壓縮	結實壓縮
圖像文件	圖檔
圖靈完備	圖靈完備
在線視頻	網路影片
地面廣播	無線廣播
地面電視	無線電視
增強現實	擴增實境
外置硬盤	外接硬碟
子網掩碼	子網路遮罩
存儲程序	儲存程序
存儲芯片	記憶晶片
守護進程	守護行程
安全軟件	安全軟體
尋址模式	定址模式
尾部遞歸	尾端遞迴
層次結構	階層
布爾邏輯	布林運算
帶圈字符	圍繞字元
幫助文檔	說明文件
平均碼率	平均位元速率
彈出窗口	彈出式視窗
後台流量	背景流量
後台運行	背景執行
微型博客	微型部落格
快捷方式	捷徑
恢覆光盤	還原光碟
恢覆記錄	恢復記錄
情景模式	音訊設定檔
應用程序	應用程式
我的文檔	我的文件
打印預覽	預覽列印
托管代碼	受控代碼
拒絕服務	阻斷服務
操作對象	運算物件
操作系統	作業系統
擴展現實	延展實境
數字圖像	數位影像
數字媒體	數位媒體
數字廣播	數位廣播
數字模式	數位模式
數字水印	數位浮水印
數字測圖	數位製圖
數字照片	數位相片
數字版權	數位版權
數字發行	數位發行
數字相機	數位相機
數字移動	數位行動
數字簽名	數位簽章
數字視頻	數位影片
數字證書	數位憑證
數字資產	數位資產
數字身份	數位身分
數字電視	數位電視
數據中心	資料中心
數據倉庫	資料倉儲
數據報文	資料報
數據挖掘	資料探勘
數據捕撈	資料挖掘
數據清洗	資料淨化
數據鏈接	資料鏈結
數據集市	資料市集
文件主名	主檔名
文件名字	檔案名字
文件名稱	檔案名稱
文字處理	文書處理
文本文件	文字檔案
文檔文件	文件檔案
日歷程序	行事曆程式
時鐘頻率	時脈頻率
智能手機	智慧型手機
智能手表	智慧型手錶
智能電視	智慧型電視
智能音箱	智慧型喇叭
最終用戶	終端使用者
會話劫持	連線劫持
會話標識	交談識別碼
有損壓縮	失真壓縮
服務框架	服務架構
析構函數	解構函式
枚舉成員	列舉元
構造函數	建構函式
標記語言	標示語言
模式識別	圖型識別
模擬廣播	類比廣播
模擬現實	模擬實境
模擬電視	類比電視
機器代碼	機器碼
正則語言	正規語言
派生類型	衍生類型
混合現實	混合實境
清理緩存	清除快取
激光視盤	雷射影碟
激活函數	啟用功能
無損壓縮	無失真壓縮
照相手機	照相手機
物理內存	實體記憶體
物理地址	實體位址
玩家國度	玩家共和國
產品密鑰	產品金鑰
用戶界面	使用者介面
異常處理	例外處理
當且僅當	若且唯若
當前版本	目前版本
疑難解答	疑難排解
目標代碼	目的碼
目標文件	目的檔
目標用戶	目標使用者
目標軟件	目標軟體
矢量圖形	向量圖形
知識產權	智慧財產權
硬盤陣列	硬碟陣列
磁盤陣列	磁碟陣列
磁頭劃碰	磁頭損壞
社交媒體	社群媒體
社交網站	社群網站
社交網絡	社群網路
移動代理	行動代理
移動代碼	行動程式碼
移動公司	行動公司
移動平台	行動平台
移動廣播	行動廣播
移動應用	行動應用
移動支付	行動支付
移動數據	行動資料
移動產品	行動產品
移動硬盤	行動硬碟
移動終端	行動終端
移動網絡	行動網路
移動設備	行動裝置
移動軟件	行動軟體
移動通信	行動通訊
移動電信	行動電信
移動電源	行動電源
移動電視	行動電視
移動電話	行動電話
程序設計	程式設計
端口轉發	通訊埠轉發
第一範式	第一規格化
第三範式	第三正規化
第二範式	第二正規化
第五範式	第五規格化
第六範式	第六規格化
第四範式	第四規格化
紅心大戰	傷心小棧
索尼移動	索尼行動
結合存儲	可定址內容記憶體
綠色軟件	可攜式軟體
網上鄰居	網路上的芳鄰
網絡動畫	網路動畫
網絡欺淩	網路霸淩
網絡漫畫	網路漫畫
網絡硬盤	網路硬碟
網絡購物	網路購物
網頁快照	頁庫存檔
編程範型	程式設計範式
編程語言	程式語言
緩存溢出	緩衝區溢位
縮略網址	縮網址
繼承列表	衍化列
置標語言	標示語言
美國在線	美國線上
腦機接口	人機介面
腳本語言	手稿語言
自底向上	由下而上
自述文件	讀我檔案
菊花鏈接	菊式鏈結
藍屏死機	藍白當機
處理函數	處理常式
虛擬內存	虛擬記憶體
蜂窩數據	蜂巢式資料
蜂窩網絡	蜂巢式網路
蜘蛛紙牌	連環新接龍
西部數據	威騰電子
覆選按鈕	核取按鈕
覆雜度類	複雜度類別
覆雜性類	複雜性類別
視頻接口	視訊連接頭
視頻文件	視訊檔
視頻文檔	視訊檔案
視頻輸入	視訊輸入
視頻輸出	視訊輸出
評測系統	解題系統
語法高亮	語法突顯
請勿追蹤	停止追蹤
貪心算法	貪婪演算法
軟件過程	軟體流程
退出程序	結束程式
連續互通	接續互通
邏輯器件	邏輯裝置
郵件列表	郵寄清單
配置文件	組態檔
重定向頁	重新導向頁面
鍵盤布局	鍵盤配置
鏈接反向	鏈結反向
鏈接搜索	鏈結搜尋
鏈接正向	鏈結正向
門戶系統	入口網站
門戶網站	入口網站
附加組件	附加元件
陣列硬盤	陣列硬碟
隱身模式	無痕模式
集成電路	積體電路
雙參函數	二元函數
電子表格	電子試算表
電源保護	不斷電系統
靜態類型	靜態型別
面向並發	平行導向
面向堆棧	堆疊導向
面向對象	物件導向
面向文檔	文件導向
面向消息	訊息導向
面向過程	程序導向
音頻文件	音訊檔
音頻文檔	音訊檔
音頻輸入	音訊輸入
音頻輸出	音訊輸出
類加載器	類別載入器
類型檢查	型別檢查
類型系統	型別系統
類的實例	類別的實例
飛行模式	飛航模式
驅動程序	驅動程式
高清音質	高音質
高清音頻	高音質音訊
高級語言	高階語言
鴨子類型	鴨子型別
黑盒測試	黑箱測試
回歸分析	迴歸分析
高維空間	多維空間
視頻監視	影像監視
視頻分析	影片分析
視頻內容	影片內容
實時事件	即時事件
定性研究	質性研究
定量研究	量化研究
文獻綜述	文獻探討
市場調研	市場調查
營銷策略	行銷策略
營銷渠道	行銷通路
市場細分	市場區隔
行銷渠道	行銷通路
價格策略	定價策略
項目管理	專案管理
流程重構	流程再造
管理諮詢	管理顧問
網絡營銷	線上行銷
商業秘密	商業機密
員工培訓	員工訓練
企業估值	企業評價
會計準則	會計準則
客戶滿意	顧客滿意
企業買賣	企業併購
入站行銷	集客式行銷
出站行銷	推廣式行銷
